make,description,model,type,DEPT,CATEGORY,SIZE,PACK_QTY,COST,PRICE,available,vendor,REORDER_NO,MIN_ORDER
AUDIOCONTROL,AUDIOCONTROL SIX CHANNEL PROC,LC6I,STANDARD,EQX,,,1,105,199.99,0,CARTOYZ,,
AUDIOCONTROL,AUDIOCONTROL OEM PROCESSOR,LC7I,STANDARD,EQX,,,1,120,199.99,0,AUDIOVOX,,
AUDIOCONTROL,AUDIOCONTROL 6CH LINE OUT CONV,LCQ1,STANDARD,EQX,,,1,180,299.99,1,AUDIOCONTROL,,
METRA,PONTIAC GTO KIT 04-06,953528,STANDARD,INSTALL,,,1,7.5,24.99,0,SANTA FE,,
AUDIOCONTROL,AUDIOCONTROL 3.2 EQ,THREE2,STANDARD,EQX,,,1,180,299.99,0,STINGER SOLUTIONS,,
MEMPHIS,MEMPHIS LINE DRVER,VBF1,STANDARD,EQX,,,1,47.5,99.99,0,MEMPHIS,,
METRA,CHRYSLER PACIFICA 04-08 KIT,956506B,STANDARD,INSTALL,,,1,8,29.99,-1,SANTA FE,,
PIONEER,"PIONEER DVD BLUETOOTH 6.2""",AVH120BT,STANDARD,HEAD UNIT,,,1,120,199.99,0,WALMART,,
PIONEER,PIONEER APPLE CAR PLAY DVD,AVH1550NEX,STANDARD,HEAD UNIT,,,1,255.5,349.99,0,PIONEER,,
PIONEER,"PIONEER 6.2"" DVD RECEIVER",AVH221EX,STANDARD,HEAD UNIT,,,1,152,199.99,0,PIONEER,,
PIONEER,"PIONEER 6.2"" USB MIRRORING DVD",AVH241EX,STANDARD,HEAD UNIT,,,1,201.47,299.99,2,PIONEER,,
PIONEER,PIONEER DDIN DVD CARPLAY/ANDRO,AVH2500NEX,STANDARD,HEAD UNIT,,,1,328.99,449.99,0,PIONEER,,
PIONEER,PIONEER DVD/CAR PLAY UNIT,AVH2550NEX,STANDARD,HEAD UNIT,,,1,328.99,449.99,0,PIONEER,,
PIONEER,PIONEER NEX RECIEVER,AVHW4400NEX,STANDARD,HEAD UNIT,,,1,511,699.99,1,PIONEER,,
PIONEER,"PIONEER 7"" DVD WIRELESS CARPLA",AVHW4500NEX,STANDARD,HEAD UNIT,,,1,0,749.99,1,PIONEER,,
BOSS ELITE,"BOSS ELITE 10"" CARPLAY ANDROID",BE10ACP,STANDARD,HEAD UNIT,,,1,259,399.99,0,SANTA FE,,
BOSS,BOSS 7' ELITE CARPLAY/AND UNIT,BE7ACP,STANDARD,HEAD UNIT,,,1,170,299.99,0,BOSS,,
BOSS,"BOSS 9"" CARPLAY ANDROID SCREEN",BE9ACP,STANDARD,HEAD UNIT,,,1,0,399.99,0,BOSS,,
PAC,TOYOTA DASH KIT,TOYK967GB,STANDARD,HEAD UNIT,,,1,93.6,119.99,1,PIONEER,,
BOSS,BOSS DVD BLUETOOTH RECIEVER,BV9695B,STANDARD,HEAD UNIT,,,1,95,179.99,0,WALMART,,
JENSEN,"JENSEN 10"" APPLE ANDROID WIREL",CAR1013,STANDARD,HEAD UNIT,,,1,230,399.99,2,JENSEN,,
METRA,DD KIT MUSTANG,955025,STANDARD,INSTALL,,,1,6.81,24.99,0,SANTAFE,,
JENSEN,"JENSEN 7"" CARPLAY/AND RECIEVER",CAR710,STANDARD,HEAD UNIT,,,1,164.25,279.99,0,JENSEN,,
JENSEN,JENSEN APPLE ANDROID WIRELESS,CAR723W,STANDARD,HEAD UNIT,,,1,130,249.99,2,JENSEN,,
JENSEN,"JENSEN WIRELESS CARPLAY 9""",CAR910W,STANDARD,HEAD UNIT,,,1,311,529.99,0,JENSEN,,
JENSEN,"JENSEN 9"" CARPLAY ANDRIOD",CAR910X,STANDARD,HEAD UNIT,,,1,230.61,379.99,1,JENSEN,,
JENSEN,"JENSEN 6.2"" 2DIN DVD REVEIVER",CDR5620,STANDARD,HEAD UNIT,,,1,85.42,139.99,0,JENSEN,,
JBL,JBL SINGLE DIN BLUTOOTH RADIO,CELEBRITY150,STANDARD,HEAD UNIT,,,1,0,79.99,2,JBL,,
JENSEN,"JENSEN 7"" MIRRORING UNIT",CM701MIR,STANDARD,HEAD UNIT,,,1,140,239.99,0,JENSEN,,
JENSEN,"JENSEN 9"" MIRRORING SCREEN",CM901MIR,STANDARD,HEAD UNIT,,,1,259,399.99,0,KENWOOD,,
JENSEN,JENSEN 2 DIN TOUCHSCREEN,CMR2629,STANDARD,HEAD UNIT,,,1,75,119.99,0,JENSEN,,
JENSEN,"JENSEN 7"" FLIP OUT BLUETOOTH",CMR3710,STANDARD,HEAD UNIT,,,1,90,149.99,0,JENSEN,,
METRA,DD DINKIT FORD,955026,STANDARD,INSTALL,,,1,6.81,24.99,0,SANTAFE,,
METRA,CHRYSLER 300 05-07 DD KIT,996516B,STANDARD,INSTALL,,,1,33,79.99,0,SANTA FE,,
AXXESS,CHRYSLER/DODGE 04-19 DATA HARN,AXTCCH13,STANDARD,INSTALL,,,1,109.3,229.99,2,METRA,,
