Model,Item,Make,Description,UPC,MAP,Sheet,MP Qty,MP Weight,MP Length,MP Width,MP Height,Unit Weight,Unit Length,Unit Width,Unit Height
PMXBTUR,PMX-BTUR,ROCKFORD,Universal Bluetooth steering wheel remote controller,780687351755,$159.99,$95.00, 10 , 6.4 , 15.0 , 15.0 , 9.0 , 0.6 , 13.2 , 4.5 , 10.0 
PMX16C,PMX16C,ROCKFORD,16 ft extension cable for PMX-1R & PMX-0R,780687344641,$59.99,$36.00, 13 , 15.4 , 18.0 , 12.0 , 11.0 , 1.2 , 10.0 , 7.0 , 2.0 
PMX25C,PMX25C,ROCKFORD,25 ft extension cable for PMX-1R & PMX-0R,780687344672,$74.99,$45.00, 13 , 19.8 , 17.5 , 12.0 , 10.3 , 1.5 , 5.8 , 4.2 , 1.8 
PMX50C,PMX50C,ROCKFORD,50 ft extension cable for PMX-1R & PMX-0R,780687349363,$129.99,$76.00, 6 , 17.2 , 18.0 , 12.0 , 11.0 , 2.9 , 1.0 , 1.0 , 1.0 
PMXYC,PMXYC,ROCKFORD,Y Cable for PMX-1R & PMX-0R,780687346928,$49.99,$28.00, 24 , 10.2 , 17.5 , 12.0 , 10.5 , 0.4 , 7.5 , 5.9 , 2.4 
PMXUSBP,PMX-USBP,ROCKFORD,Universal USB port,780687356309,$49.99,$30.00, 40 , 9.8 , 19.5 , 8.5 , 9.5 , 0.3 , 13.8 , 10.3 , 4.3 
PMXANT,PMX-ANT,ROCKFORD,AM/FM/WB Amplified 12V Antenna,780687352110,$89.99,$50.00, 10 , 5.4 , 15.5 , 9.0 , 11.8 , 0.5 , 10.0 , 7.9 , 3.7 
M5800X4,M5-800X4,ROCKFORD,"4 channel Element Ready amplifier 
125x4 @ 2Ω, 200x4 @ 4Ω, 400x2 @ 4Ω bridged",780687357962,$689.99,$413.00, 4 , 17.8 , 15.0 , 8.0 , 13.0 , 4.5 , 12.0 , 7.0 , 5.0 
M51500X5,M5-1500X5,ROCKFORD,"5 ch. Element Ready amplifier 125x4 + 400x1 @ 4Ω, 200x4 + 700x1 @ 2Ω, NA + 700x1 @ 1Ω, 400x2 @ 4Ω + NA Bridged",780687357979,$999.99,$620.00, 4 , 26.6 , 15.0 , 7.0 , 17.0 , 6.7 , 15.5 , 6.0 , 3.5 
M51000X1,M5-1000X1,ROCKFORD,"Mono Element Ready amplifier 
525x1 @ 4Ω, 900x1 @ 2Ω, 1000x1 @ 1Ω",780687357986,$689.99,$413.00, 4 , 17.6 , 14.5 , 6.8 , 12.8 , 4.4 , 15.5 , 6.0 , 3.5 
TM400X4AD,TM400X4AD,ROCKFORD,"4 channel marine amplifier 
100x4 @ 4Ω, 100x4 @ 2Ω, 200x2 @ 4Ω bridged",780687345150,$629.99,$382.00, 4 , 13.8 , 14.0 , 7.0 , 12.0 , 3.5 , 6.5 , 11.3 , 13.4 
